source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD018117-Sample-1	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017082.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-2	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017087.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-3	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017088.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-4	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017101.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-5	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017102.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-6	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017110.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-7	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017111.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-8	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017114.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-9	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017115.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-10	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017121.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-11	homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive Plus	not available	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins)	7 ppm	10 ppm	orbitrap	qx017124.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
