source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011799-Sample-1	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-2	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-3	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-4	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-5	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-6	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-7	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-8	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-9	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD011799-Sample-10	Homo sapiens	blood, melanoma	metastatic melanoma	B cells	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (PBMCB, TAB), treatment (MCM, control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	42 NCE	20170131_Lumos_RSLC4_Maurer_Hartl_UW_MFPL_Global_TMT_fr10_MS2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
