pxd	data_file	category	field	assessed_value	gold_value	normalized_assessed_value	normalized_gold_value	status	match_method	similarity
PXD008934	Prosser_1004.raw	Biological	characteristics[age]		58Y		58y	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[cell type]	cardiomyocytes		cardiomyocytes		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[cell type]		heart cell		heart cell	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[disease]	normal, compensated hypertrophy, ischemic cardiomyopathy, dilated cardiomyopathy, hypertrophic cardiomyopathy with preserved ejection fraction, hypertrophic cardiomyopathy with reduced ejection fraction		normal compensated hypertrophy ischemic cardiomyopathy dilated cardiomyopathy hypertrophic cardiomyopathy with preserved ejection fraction hypertrophic cardiomyopathy with reduced ejection fraction		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[disease]		ischemic cardiomyopathy		ischemic cardiomyopathy	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[organism part]	left ventricular myocardium		left ventricular myocardium		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[organism part]		heart left ventricle		heart left ventricle	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[organism]	homo sapiens	Homo sapiens	homo sapiens	homo sapiens	matched	exact_normalized	1.000000
PXD008934	Prosser_1004.raw	Biological	characteristics[sex]		Male		male	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[cleavage agent details]		NT=Trypsin;AC=MS:1001251		cv:ms:1001251	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422		cv:ms:1000422		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[fragment mass tolerance]	16 ppm		16 ppm		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[fragment mass tolerance]		20 ppm		20 ppm	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[instrument]	Q Exactive	NT=Q Exactive;AC=MS:1001911	q exactive	cv:ms:1001911	matched	exact_normalized	1.000000
PXD008934	Prosser_1004.raw	Technical	comment[label]	label free sample	NT=label free sample	label free sample	nt label free sample	matched	fuzzy	0.918919
PXD008934	Prosser_1004.raw	Technical	comment[ms2 mass analyzer]	orbitrap		orbitrap		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[precursor mass tolerance]	7 ppm		7 ppm		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[precursor mass tolerance]		20 ppm		20 ppm	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	comment[proteomics data acquisition method]	data-dependent acquisition		data-dependent acquisition		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	Technical	technology type	proteomic profiling by mass spectrometry		proteomic profiling by mass spectrometry		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	ExperimentalDesign	characteristics[biological replicate]	34		34		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	ExperimentalDesign	characteristics[biological replicate]		1		1	gold_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	1	matched	exact_normalized	1.000000
PXD008934	Prosser_1004.raw	ExperimentalDesign	comment[technical replicate]	1		1		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	ExperimentalDesign	factor value[disease]	normal, compensated hypertrophy, ischemic cardiomyopathy, dilated cardiomyopathy, hypertrophic cardiomyopathy with preserved ejection fraction, hypertrophic cardiomyopathy with reduced ejection fraction		normal compensated hypertrophy ischemic cardiomyopathy dilated cardiomyopathy hypertrophic cardiomyopathy with preserved ejection fraction hypertrophic cardiomyopathy with reduced ejection fraction		assessed_only	unmatched	0.000000
PXD008934	Prosser_1004.raw	ExperimentalDesign	factor value[experimental design]	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)		heart condition normal chyp hcmpef hcmref dcm icm		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[age]		54Y		54y	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[cell type]	cardiomyocytes		cardiomyocytes		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[cell type]		heart cell		heart cell	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[disease]	normal, compensated hypertrophy, ischemic cardiomyopathy, dilated cardiomyopathy, hypertrophic cardiomyopathy with preserved ejection fraction, hypertrophic cardiomyopathy with reduced ejection fraction		normal compensated hypertrophy ischemic cardiomyopathy dilated cardiomyopathy hypertrophic cardiomyopathy with preserved ejection fraction hypertrophic cardiomyopathy with reduced ejection fraction		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[disease]		normal		normal	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[organism part]	left ventricular myocardium		left ventricular myocardium		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[organism part]		heart left ventricle		heart left ventricle	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[organism]	homo sapiens	Homo sapiens	homo sapiens	homo sapiens	matched	exact_normalized	1.000000
PXD008934	Prosser_1085.raw	Biological	characteristics[sex]		Female		female	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[cleavage agent details]		NT=Trypsin;AC=MS:1001251		cv:ms:1001251	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422		cv:ms:1000422		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[fragment mass tolerance]	16 ppm		16 ppm		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[fragment mass tolerance]		20 ppm		20 ppm	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[instrument]	Q Exactive	NT=Q Exactive;AC=MS:1001911	q exactive	cv:ms:1001911	matched	exact_normalized	1.000000
PXD008934	Prosser_1085.raw	Technical	comment[label]	label free sample	NT=label free sample	label free sample	nt label free sample	matched	fuzzy	0.918919
PXD008934	Prosser_1085.raw	Technical	comment[ms2 mass analyzer]	orbitrap		orbitrap		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[precursor mass tolerance]	7 ppm		7 ppm		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[precursor mass tolerance]		20 ppm		20 ppm	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	comment[proteomics data acquisition method]	data-dependent acquisition		data-dependent acquisition		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	Technical	technology type	proteomic profiling by mass spectrometry		proteomic profiling by mass spectrometry		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	ExperimentalDesign	characteristics[biological replicate]	34		34		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	ExperimentalDesign	characteristics[biological replicate]		1		1	gold_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	1	matched	exact_normalized	1.000000
PXD008934	Prosser_1085.raw	ExperimentalDesign	comment[technical replicate]	1		1		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	ExperimentalDesign	factor value[disease]	normal, compensated hypertrophy, ischemic cardiomyopathy, dilated cardiomyopathy, hypertrophic cardiomyopathy with preserved ejection fraction, hypertrophic cardiomyopathy with reduced ejection fraction		normal compensated hypertrophy ischemic cardiomyopathy dilated cardiomyopathy hypertrophic cardiomyopathy with preserved ejection fraction hypertrophic cardiomyopathy with reduced ejection fraction		assessed_only	unmatched	0.000000
PXD008934	Prosser_1085.raw	ExperimentalDesign	factor value[experimental design]	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)		heart condition normal chyp hcmpef hcmref dcm icm		assessed_only	unmatched	0.000000
PXD008934	Prosser_1119.raw	Biological	characteristics[age]		52Y		52y	gold_only	unmatched	0.000000
PXD008934	Prosser_1119.raw	Biological	characteristics[cell type]	cardiomyocytes		cardiomyocytes		assessed_only	unmatched	0.000000
PXD008934	Prosser_1119.raw	Biological	characteristics[cell type]		heart cell		heart cell	gold_only	unmatched	0.000000
PXD008934	Prosser_1119.raw	Biological	characteristics[disease]	normal, compensated hypertrophy, ischemic cardiomyopathy, dilated cardiomyopathy, hypertrophic cardiomyopathy with preserved ejection fraction, hypertrophic cardiomyopathy with reduced ejection fraction		normal compensated hypertrophy ischemic cardiomyopathy dilated cardiomyopathy hypertrophic cardiomyopathy with preserved ejection fraction hypertrophic cardiomyopathy with reduced ejection fraction		assessed_only	unmatched	0.000000
