source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010429-Sample-1	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT01-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-2	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT01-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-3	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT01-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-4	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT01-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-5	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT01-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-6	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT01-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-7	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT03-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-8	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT03-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-9	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT03-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-10	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT03-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-11	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT03-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-12	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT03-2-Fx09-run1.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-13	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT04-2-Fx10-run2.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
PXD010429-Sample-14	Homo sapiens	lung	squamous cell lung cancer	not available	not available	mean age = 69.1	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 p.p.m.	0.5 m/z	dithiothreitol	iodoacetamide	orbitrap	20160609_Haura-SCC-PG_TMT04-2-Fx10-run2.raw	v1.1.0	HAMLET-agentic v2.1.0	squamous cell lung cancer
