source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD004684-Sample-1	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N294-1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-2	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N294-2.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-3	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N295-1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-4	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N295-2.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-5	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N296-1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-6	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N296-2.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-7	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N299-1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-8	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	N299-2.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-9	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	T298-1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
PXD004684-Sample-10	Homo sapiens	lung	lung squamous cell carcinoma	8	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (lung squamous cell carcinoma, adjacent tissue); analysis method (DDA, DIA, LF, TMT 6-plex)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	T300-1.raw	v1.1.0	HAMLET-agentic v0.1.0	lung squamous cell carcinoma
